frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
11,1.0,[2.113507520288863 209.91012134496154 450.4442902382542 571.9782808708339],[144.00259399414062 488.60687255859375 317.6316833496094 538.9314575195312],0.9181621074676514,WLV 610,0.4429584300246417
12,1.0,[1.3065243128082784 210.63603169178552 448.65343156751175 572.0092711424504],[142.8612823486328 488.3965148925781 316.8141174316406 538.8275756835938],0.9188171625137329,WLV 610,0.6822767650953587
13,1.0,[0.7898013475336825 211.55913476965588 446.90905805124646 571.9749405694849],[142.44229125976562 488.3609313964844 315.4781799316406 538.9229125976562],0.9203279614448547,KLV 610,0.5243425920563298
14,1.0,[0.11024720093928408 212.55346757287737 444.86277441117227 572.264754433778],[139.8995361328125 488.62811279296875 313.8939208984375 539.5043334960938],0.9203595519065857,WLV 610,0.9124346459447245
15,1.0,[0.28762912087987047 213.7199123574862 443.76097946995617 572.7914519177547],[138.9859161376953 489.2111511230469 312.4136047363281 539.9769287109375],0.9181284308433533,WLV 610,0.7521446156490039
16,1.0,[0.1907757130813934 214.6654262644726 442.29171143445996 573.0811346306276],[137.14109802246094 489.481689453125 310.75018310546875 539.8919677734375],0.9156702160835266,WLV 610,0.7616688942384096
17,1.0,[-0.23461169142282756 215.6148195694742 440.0386916233424 573.3961756475846],[134.9192352294922 489.5469055175781 308.4260559082031 540.31396484375],0.9099846482276917,WLV 610,0.4956028820214094
18,1.0,[-0.48323796319820644 216.47756694236642 437.5694492685475 573.7502312211707],[132.0811004638672 489.2630310058594 305.4263000488281 540.80029296875],0.9125088453292847,WLV 610,0.8097110968389286
19,1.0,[-0.7151769867273003 217.21275137619594 434.997543343096 574.0494796853025],[130.646728515625 489.67913818359375 303.2872009277344 541.4276123046875],0.9155728220939636,NLV 610,0.5694709478805695
20,1.0,[-0.8688054382416794 217.8841441875609 432.6395959363501 574.67075801734],[129.57801818847656 489.8725280761719 301.0765686035156 541.9968872070312],0.9135057330131531,WLV 610,0.6729278821255578
21,1.0,[-1.0647034750921307 218.51393927050532 429.85568799305 575.0690113921628],[127.60440063476562 490.6176452636719 299.3169860839844 542.3973388671875],0.9112368822097778,KLV 610,0.5757567755723678
22,1.0,[-1.326716142781322 219.20522789268145 426.8333744329559 575.9249844082165],[125.34245300292969 491.0446472167969 297.3853759765625 543.1671142578125],0.9096665382385254,WLV 610,0.688865661254751
23,1.0,[-1.470566203582564 220.1673484029631 423.6864435118297 576.801938887417],[122.1441421508789 491.4190368652344 294.2709045410156 544.1489868164062],0.9120450019836426,WLV 610,0.671418053152133
24,1.0,[-1.7084322581071092 220.6801893694438 420.1918079129386 577.1990132328389],[117.75106811523438 491.8173828125 290.50927734375 545.7340087890625],0.9147621989250183,WLV 610,0.6993147681659768
25,1.0,[-1.9252362711857813 221.46698151828292 416.4910335128859 577.8206342864064],[113.85066223144531 492.6162109375 286.5125427246094 546.8445434570312],0.9094991683959961,WLV 610,0.8986158220480237
26,1.0,[-1.9191646487690548 222.1767157926306 413.0115681252877 578.466992058064],[110.97089385986328 493.29681396484375 283.20660400390625 547.2391357421875],0.9073622822761536,WLV 610,0.9886124228757742
27,1.0,[-2.0920746122686467 222.73902300443763 409.0314651788716 579.1261402764154],[106.70879364013672 493.3005065917969 279.82012939453125 547.7489013671875],0.9051279425621033,WLV 610,0.8745075197986186
28,1.0,[-2.547091526109938 223.0057467948335 404.3198721831759 579.7022308017148],[101.37793731689453 492.938720703125 275.4739990234375 548.0618896484375],0.91050785779953,WLV 610,0.9055877526480971
29,1.0,[-2.790876684579274 223.28662825186262 399.59498761121927 580.3738766011998],[96.81412506103516 492.70245361328125 269.3336181640625 548.583251953125],0.9039443135261536,MLV 610,0.8518401400817923
31,1.0,[-2.832293004270042 223.952006430462 390.54397347123165 581.1679050717538],[87.60433959960938 492.6219482421875 261.4365539550781 548.7152709960938],0.9095674753189087,HLV 610,0.2782426416646641
33,1.0,[-3.04291011924812 224.41084245922644 380.75207671037134 581.4093223677246],[79.10496520996094 491.7369079589844 252.0966339111328 549.533447265625],0.9090144634246826,WLV 610,0.7626809796812737
34,1.0,[-3.06110267823766 224.48290038501563 376.0481654177869 581.4366598260547],[76.24673461914062 490.8857421875 249.2488555908203 549.6858520507812],0.9164831638336182,WLV 610,0.8695751419144195
35,1.0,[-2.8663105906806265 224.83058002111844 371.7521657189286 581.6899927618832],[70.90895080566406 490.8234558105469 244.65269470214844 549.8612670898438],0.9127362370491028,WLV 610,0.8233867279358422
36,1.0,[-2.9598420935150784 224.86083770629523 367.2490979253797 581.8202327169914],[65.89743041992188 489.79150390625 240.44064331054688 550.5422973632812],0.9154589176177979,WLV 610,0.659716548157847
37,1.0,[-3.208151812252794 224.97307967472045 362.37852774141936 581.8769414069931],[62.324462890625 489.7242431640625 235.7461700439453 550.041748046875],0.9143277406692505,WLV 610,0.8840678544423537
39,1.0,[-3.1171032639517477 224.93714451381192 353.39755924752035 581.9370953647649],[54.713558197021484 489.26483154296875 228.8077392578125 550.4338989257812],0.9116394519805908,HLV 610,0.5050092780177314
40,1.0,[-2.656470181926238 225.2111334179313 349.80619462112605 581.9713640990967],[50.145721435546875 488.9236755371094 225.3049774169922 550.8436279296875],0.9149152040481567,WLV 610,0.7771198114988374
44,1.0,[-2.0288735280080346 225.50863186996807 336.1616067842606 581.0076877148551],[41.29507064819336 488.560791015625 215.09156799316406 551.0732421875],0.9180620908737183,WLV 610,0.3944345898642182
45,1.0,[-1.6544569688166177 225.8688291486338 334.01170054018485 581.1466961279131],[39.42742156982422 488.36688232421875 213.96080017089844 550.97802734375],0.9151375889778137,WLV 610,0.5008773597947116
49,1.0,[0.6776398143185247 226.00356180383457 331.476022786452 580.2531219744901],[41.26826858520508 487.5983581542969 214.5850372314453 548.863525390625],0.9198256134986877,WLV 510,0.3253352205726035
50,1.0,[1.4832285261572622 225.805487069191 332.6627697929481 579.9982199349449],[43.75210189819336 487.21527099609375 216.35018920898438 547.9627075195312],0.9188103675842285,WLV 610,0.8045641393504587
51,1.0,[2.1146871828413794 225.56639773163084 333.9386189620011 579.5448263780979],[45.253360748291016 486.1945495605469 217.53805541992188 547.1224365234375],0.9136857986450195,WLV 610,0.3969777326884224
52,1.0,[3.5308522902500385 224.98647406883487 337.5958101079195 578.5026783417823],[50.7271728515625 485.8141174316406 222.15187072753906 546.8045043945312],0.9171915054321289,NLV 610,0.5268255093262018
53,1.0,[4.727422315792836 223.89564079338845 341.98754370711026 576.8084925419828],[57.6596794128418 484.7851257324219 228.36798095703125 543.7272338867188],0.9119938611984253,WLV 610,0.6377635180583318
54,1.0,[5.927536171587775 222.7673164063488 347.19834329099524 574.7700120113811],[62.87887191772461 483.35150146484375 233.7444305419922 541.687744140625],0.9158385992050171,WLV 610,0.26882876047787746
55,1.0,[7.068958013329592 221.68074094945683 353.5875722318922 573.2224175874169],[70.43062591552734 483.0821533203125 240.5680389404297 539.9655151367188],0.9232533574104309,WLV 610,0.9612908784885174
56,1.0,[8.092717450844958 220.3314956191421 360.20148901917537 571.4505241326436],[78.26358795166016 482.81903076171875 247.8879852294922 538.575927734375],0.9264047741889954,WLV 610,0.9314892017178159
58,1.0,[9.79329875416147 218.20748690857997 375.26079731939325 567.8034068108949],[93.58343505859375 482.0687561035156 262.2976989746094 534.9609985351562],0.9077360033988953,MLV 610,0.6130892280907944
59,1.0,[10.03784782426905 217.30178697399242 382.6018810362908 566.1689580710957],[99.83241271972656 482.117919921875 268.8941345214844 534.3467407226562],0.9008510708808899,WLV 610,0.6513005865929926
60,1.0,[10.124789689141778 218.071963855122 390.4990598650141 567.0114116332529],[107.89991760253906 481.9483642578125 275.2293701171875 531.577392578125],0.8984251022338867,WLV 610,0.5882855604061867
61,1.0,[10.431677951127824 216.76551083002246 398.3848797291872 564.1997898480655],[114.67267608642578 481.60284423828125 282.7869873046875 530.99658203125],0.9013502597808838,WLV 610,0.9161970718806121
62,1.0,[10.463236918556845 217.36144305246006 406.5165687205301 565.3503840627923],[122.17383575439453 482.369384765625 289.5670471191406 530.398193359375],0.9026697874069214,WLV 610,0.42341998565904015
63,1.0,[10.830167494040552 216.36206967293143 414.5909889923092 563.8417739951574],[128.8487548828125 483.167236328125 296.7193908691406 530.2628784179688],0.8988354802131653,MLV 610,0.42666388549448875
64,1.0,[11.330547035991572 215.71330155146845 422.29614590651937 562.6430964496615],[135.04998779296875 483.2083740234375 302.324462890625 529.79150390625],0.9073945879936218,WLV 610,0.6556831893624937
65,1.0,[14.416553374291652 215.52760876602483 430.9193277670222 561.9163011301484],[141.05357360839844 483.6248474121094 308.5424499511719 529.6663818359375],0.9106411933898926,WLV 610,0.8133875000526506
66,1.0,[19.195904074830793 215.71524770561115 439.4127164772748 561.8067073298021],[147.948486328125 483.51385498046875 314.46942138671875 530.0452270507812],0.9073209762573242,WLV 610,0.5423754181195956
67,1.0,[23.95960239360457 215.37708878932006 447.01793541197844 560.9866003784747],[153.04672241210938 483.59002685546875 320.10247802734375 529.2367553710938],0.9175330400466919,WLV 610,0.4233269480592525
68,1.0,[28.42453094077581 215.02960522728858 453.61126634550124 560.3331794705532],[157.57659912109375 483.4024963378906 324.8740539550781 528.4347534179688],0.9183638095855713,WLV 610,0.5214112699854636
69,1.0,[33.4999635942051 214.81257868563418 459.8587914165022 559.8521799232209],[163.5099639892578 483.2891845703125 329.44573974609375 527.8424682617188],0.9111420512199402,WLV 610,0.8263161864077891
70,1.0,[38.47277854611673 214.64062554470814 465.6925042155628 559.4451054279991],[167.35997009277344 482.7119445800781 333.4170837402344 526.6740112304688],0.9171454906463623,WLV 610,0.8443437740492837
71,1.0,[42.6781346549115 214.2206964192646 470.2812196624662 558.653380199464],[170.90113830566406 482.1144104003906 336.63812255859375 525.9371337890625],0.9271929860115051,WLV 610,0.646496956728116
72,1.0,[45.76247169005137 213.8247791588156 473.9528400173134 557.8348203537307],[173.86294555664062 481.3553161621094 339.447998046875 525.4224243164062],0.9242417216300964,WLV 610,0.739766064965261
73,1.0,[48.552914202628216 213.76884026576857 477.1523364998699 557.4805543208915],[176.7299346923828 480.2577819824219 341.9226989746094 524.5790405273438],0.9089071750640869,WLV 610,0.9313541679624944
74,1.0,[51.24480683040349 213.61666368492524 479.78147568104475 557.0761534149357],[179.42881774902344 480.3564147949219 344.9551696777344 524.7183227539062],0.9087192416191101,WLV 610,0.7926415830336597
75,1.0,[53.251884460594 213.42165336181068 481.248739155333 556.7188836147961],[181.26223754882812 479.77587890625 346.6070556640625 523.9780883789062],0.9110807180404663,KLV 610,0.4914531358120838
76,1.0,[55.13033594428819 213.342484542478 482.0620532546335 556.5742441455636],[182.85289001464844 479.35662841796875 348.2186584472656 523.6547241210938],0.9126835465431213,WLV 610,0.19965708640537064
77,1.0,[57.11537873695352 213.21432309455363 481.9806880499858 556.4811599102451],[184.3749542236328 479.3294677734375 350.3320007324219 523.5122680664062],0.9114533066749573,WLV 610,0.8019021232845214
78,1.0,[59.014686997218746 213.15251182183857 481.83972033210625 555.9965711126804],[185.77728271484375 478.90020751953125 351.31341552734375 523.1166381835938],0.9130567908287048,WLV 610,0.9418088504697643
79,1.0,[60.67917791666514 213.36131587942478 481.6053493086447 555.8769214525236],[186.6922607421875 478.603271484375 351.8281555175781 523.0363159179688],0.9133935570716858,WLV 610,0.4497984846253035
80,1.0,[61.628778209348326 213.55263913364104 481.14734441982466 555.9524332179421],[187.47499084472656 478.0635986328125 352.14874267578125 522.7753295898438],0.9136539697647095,WLV 610,0.9375183957753578
81,1.0,[62.19959682195088 213.62043341233016 480.66013862416503 555.8172708709528],[187.651123046875 477.7530517578125 352.1731262207031 522.7279663085938],0.9130701422691345,WLV 610,0.793630550590911
82,1.0,[62.73069727938562 213.85314167837217 480.28915397756646 555.8246904303159],[187.67623901367188 477.7725830078125 352.2552795410156 522.7454833984375],0.9130838513374329,KLV 610,0.6352815180958846
83,1.0,[63.05082026499625 214.00829838808806 479.90226332235034 555.62185180434],[187.6981964111328 477.7339172363281 352.151611328125 522.7088012695312],0.9132184982299805,WLV 610,0.6225784848909968
84,1.0,[63.10837547021998 214.43007849207712 479.53295984578614 555.721913990557],[187.94773864746094 477.68084716796875 351.8212585449219 523.0875854492188],0.9129282236099243,WLV 610,0.9295762407742159
85,1.0,[62.84152674960765 215.27281562283585 479.5931797203633 556.3666126638484],[187.0695343017578 479.34716796875 351.6959533691406 524.1770629882812],0.9123737812042236,WLV 610,0.9682648339701735
86,1.0,[62.096358634711606 216.42311973685253 479.39009947511795 557.3649541562168],[186.59068298339844 480.1658020019531 350.8905029296875 524.8800048828125],0.9155887961387634,WLV 610,0.9579144663436108
87,1.0,[61.048495038714634 217.63361199512647 479.1296093578175 558.5385277212167],[185.42262268066406 481.1128845214844 350.13995361328125 526.6051635742188],0.9223785996437073,WLV 610,0.29273500523536683
88,1.0,[59.900795496713044 218.5758846945592 479.0378796478043 559.6814752937407],[184.8542022705078 481.53271484375 349.19970703125 527.6455688476562],0.9257422685623169,WLV 610,0.9321892505277078
89,1.0,[58.889581055858855 219.21647238858395 478.9958528170533 560.4815611421017],[184.42816162109375 482.2792053222656 348.8164367675781 528.0284423828125],0.927838146686554,WLV 610,0.8645409000115971
90,1.0,[58.28114148820828 221.00952892890572 479.1220834428668 563.7514747734696],[183.7435760498047 483.1094970703125 347.98529052734375 528.7188110351562],0.9280747771263123,WLV 610,0.774657751710401
91,1.0,[57.17036586797829 221.19491920693898 478.9829295552347 564.5906636157965],[182.80563354492188 483.34332275390625 347.4830322265625 529.2787475585938],0.92573481798172,WLV 610,0.9818277009165193
92,1.0,[56.05476177050829 221.44224930889285 478.80450192434887 564.5594359182777],[182.3604736328125 483.607666015625 347.1097412109375 529.782958984375],0.9240840077400208,WLV 610,0.7661732854559656
93,1.0,[54.61262106196398 221.94675764000735 478.3825219247145 564.8924126508573],[181.34715270996094 483.7575378417969 346.3158874511719 529.9632568359375],0.9213189482688904,WLV 610,0.6731616236305966
94,1.0,[53.19633761597419 222.7983553828648 477.8421231223095 565.2064949865878],[180.0594024658203 484.603759765625 345.4256591796875 530.4930419921875],0.9184064865112305,WLV 610,0.6865433551394788
95,1.0,[51.6766398524675 223.83274150103563 477.0682065116888 565.8687272433676],[178.69674682617188 485.5096740722656 344.3534851074219 531.4872436523438],0.9165499806404114,WLV 610,0.6924563075943421
96,1.0,[49.86891862899503 226.30693809575402 476.0315375466438 569.745618503523],[176.74407958984375 485.98052978515625 342.6756896972656 532.2348022460938],0.9132979512214661,WLV 610,0.9586936447448583
97,1.0,[48.02634352823634 227.04042780289896 474.8489463823846 569.9549570198212],[175.57704162597656 486.40740966796875 341.6272277832031 533.1582641601562],0.9138739705085754,WLV 610,0.8191315867960107
98,1.0,[46.405805719746695 228.7722030772766 473.81085125431025 571.3898636123529],[174.60488891601562 487.5936279296875 340.3244323730469 533.8944702148438],0.9129629135131836,WLV 610,0.7505612005592842
99,1.0,[45.209090247741386 230.1953147875271 472.94629795095636 572.216420509494],[174.04620361328125 489.1787109375 338.75872802734375 535.6600952148438],0.9138988256454468,WLV 610,0.891176825466362
100,1.0,[44.052318626563135 232.0899397171477 471.9337289105561 574.4274719857204],[173.64776611328125 490.5079040527344 337.9983825683594 537.098876953125],0.9176155924797058,WLV 610,0.9387039336385241
101,1.0,[43.30894838034618 233.8832838508241 471.1471053533673 575.9325370750606],[172.3977813720703 492.9316101074219 337.2650451660156 538.2643432617188],0.9173955321311951,WLV 610,0.6830020299986652
102,1.0,[42.76852065593184 235.4588747524417 470.4954775392598 576.8478736826985],[171.67666625976562 494.9860534667969 336.6685485839844 539.463623046875],0.9160709977149963,WLV 610,0.9882095879959195
103,1.0,[42.29328737442009 237.44162305604976 469.8082138972684 577.4675885085239],[171.2398223876953 496.57635498046875 335.8912658691406 540.4728393554688],0.9135296940803528,WLV 610,0.8165126873495319
104,1.0,[42.11007255676924 239.97093870964326 469.32148518106095 579.078029939457],[170.75161743164062 498.0606384277344 335.0839538574219 542.49951171875],0.9248781800270081,WLV 610,0.702743057006836
105,1.0,[41.77971249142101 242.67121664592713 468.6830438668321 580.7181618058441],[170.65237426757812 500.09515380859375 334.93218994140625 544.726806640625],0.9319475293159485,WLV 610,0.6237912279604756
106,1.0,[41.36232453676254 245.88656222487356 467.85620845122423 583.6469940603095],[170.1081085205078 501.98785400390625 334.3121643066406 547.9007568359375],0.9203676581382751,NLV 610,0.5956017800929715
107,1.0,[41.01356012053705 249.5840948915149 467.0233370656799 587.1476111555914],[169.20733642578125 504.16046142578125 334.1949157714844 550.8304443359375],0.9201165437698364,KLV 610,0.6266464792715262
108,1.0,[40.84314280775473 252.02144183387387 466.3228490549038 588.9112833250283],[168.62599182128906 507.5823059082031 333.5209655761719 553.2202758789062],0.9226285815238953,WLV 610,0.7819729944267548
109,1.0,[40.76114332818395 254.98180958209406 465.6550680245041 591.1479979790688],[168.0067138671875 510.90972900390625 333.5005798339844 556.16650390625],0.914876401424408,KLV 610,0.7818417166047321
110,1.0,[40.815427035161235 258.0758166608212 465.17653825673295 593.7462133900804],[168.22622680664062 514.0040893554688 333.14190673828125 558.6907958984375],0.9146893620491028,WLV 610,0.7829123002611343
111,1.0,[40.844784309927746 260.6055261586033 464.6822718396022 595.4431881150766],[167.5872802734375 515.782470703125 331.8088073730469 560.5267333984375],0.9226885437965393,WLV 610,0.5321657339152925
112,1.0,[40.982219293189814 263.53757822743097 464.33585899172823 598.1106279107919],[167.87757873535156 517.6906127929688 331.1997375488281 562.8844604492188],0.9211127758026123,WLV 610,0.9146604350977287
113,1.0,[41.09841566842525 265.9158646100633 463.97945591646146 599.6022605846697],[166.8716278076172 519.5050048828125 330.7504577636719 565.1123657226562],0.9175964593887329,WLV &10,0.6585395338127341
114,1.0,[40.7829396453906 268.60360438711325 463.29352897246395 601.6011271936814],[166.31613159179688 520.5751953125 331.03692626953125 567.2412109375],0.9182889461517334,WLV 610,0.8512132486224623
115,1.0,[40.77745747499935 271.00531836159723 462.9498362119672 603.3554666360425],[166.4429473876953 522.7008666992188 330.3790283203125 568.1575927734375],0.918958306312561,KLV 610,0.5199558304939917
116,1.0,[41.10162571602439 272.86073327657584 463.01192373540533 604.7037915047831],[166.51625061035156 524.240234375 329.71417236328125 569.683349609375],0.9123725891113281,WLV 610,0.4744879947121889
117,1.0,[41.39894824294004 274.0518225565256 463.0528134112607 605.2169910080966],[166.79493713378906 525.2666625976562 329.8600769042969 570.8968505859375],0.9136719107627869,WLV 610,0.4710835677996216
118,1.0,[41.533906861470484 275.61941198118944 462.97801327057107 606.6644536705512],[166.9690704345703 527.0633544921875 330.3610534667969 572.1661376953125],0.9159432649612427,WLV &10,0.5958449296742541
119,1.0,[41.70353257366699 276.99708104825334 462.8487615029468 607.6277230391828],[166.86282348632812 528.01416015625 330.1089172363281 573.0641479492188],0.9174560308456421,WLV &10,0.528461031588209
120,1.0,[41.388136798308665 279.98101197411336 462.32673613670505 612.3866640990636],[166.81808471679688 529.2316284179688 329.6377258300781 574.0368041992188],0.9131531119346619,WLV 610,0.9043596541833053
121,1.0,[41.35130855626872 281.45793398558453 462.14491079249274 614.9590631120874],[166.51544189453125 530.5626831054688 329.6484680175781 575.1323852539062],0.9112402200698853,WLV 610,0.6705514125113966
122,1.0,[41.370341127001154 282.2116985043769 462.07003868020206 615.8698429128592],[166.33848571777344 531.7651977539062 329.55157470703125 576.1253051757812],0.9115877151489258,WLV 610,0.6075903005067113
123,1.0,[41.42658219530941 282.9517193452192 462.01715802354545 616.3795250554571],[166.6533660888672 532.4501342773438 329.7610778808594 576.790771484375],0.9143797755241394,WLV 610,0.8162830089948429
124,1.0,[41.5050290501585 283.3547545375982 462.0602045699685 616.2016883838298],[166.77813720703125 533.2863159179688 329.8992919921875 577.5242309570312],0.9216742515563965,WLV 610,0.7236005143580694
125,1.0,[41.624876150754375 284.1346122143523 462.2353434712337 616.4004146600557],[166.87925720214844 533.9342651367188 330.03863525390625 578.498291015625],0.9228162169456482,WLV 610,0.30963617492830525
126,1.0,[41.54276971998104 285.0818146880274 462.2735563845281 616.5836827636339],[166.76487731933594 534.6484985351562 330.12109375 579.9402465820312],0.9213742613792419,WLV 610,0.45541451514598463
127,1.0,[41.222184199438146 285.87425416361015 462.1288549137596 616.4753379153285],[166.13052368164062 535.5741577148438 329.6988830566406 581.1925659179688],0.9185222387313843,WLV 610,0.6341835053292386
128,1.0,[41.09168345302467 287.0399123818283 462.0997055432491 616.9370173078587],[165.68426513671875 536.4876708984375 329.7795104980469 582.3369750976562],0.917188286781311,WLV 610,0.8458997787793492
129,1.0,[40.772877561498234 287.90608190177403 461.97700766017783 617.285646437975],[165.31268310546875 536.8194580078125 330.0438537597656 583.4625244140625],0.9181508421897888,KLV 610,0.6081370681467846
130,1.0,[40.29849751762214 288.6733792231423 461.8484708919084 617.7947064296671],[165.3230743408203 537.697021484375 330.2587890625 584.37255859375],0.9200863838195801,KLV 610,0.62541900775165
131,1.0,[40.03248192423709 289.2747242760014 461.8382791203518 618.1397809606411],[165.21658325195312 538.7944946289062 330.4144287109375 584.9200439453125],0.9216838479042053,HLV 610,0.7041471852181012
132,1.0,[39.73125126770378 289.85839874842895 461.8186886651706 618.7033193901516],[164.91275024414062 539.3739013671875 330.1072692871094 585.1716918945312],0.9197878837585449,WLV 610,0.7559679955119241
133,1.0,[39.34167955934029 290.46803621880633 461.7647943890255 619.5658029773664],[164.50067138671875 539.9251708984375 329.98291015625 585.7313842773438],0.9165859222412109,WLV 610,0.6326991351920636
134,1.0,[39.179796712110715 290.9213234472892 461.88679903159914 620.3031675625945],[164.59913635253906 540.3662109375 329.8177795410156 586.4725952148438],0.9151046872138977,WLV 610,0.7328304305240996
135,1.0,[38.93487515917113 291.23011102524754 461.97132541244036 621.0388495141656],[164.7711944580078 541.2777099609375 329.9151916503906 587.3052978515625],0.9147204160690308,HLV 610,0.47024989582742127
136,1.0,[38.782644035086264 291.47065991260047 462.1712847874454 621.7839164157657],[164.67234802246094 541.8309326171875 330.1259765625 587.9758911132812],0.9155329465866089,WLV 610,0.9487404703415973
137,1.0,[38.68866568506863 291.6132252408763 462.5861990471458 622.3766683892513],[164.79672241210938 542.6514892578125 330.45587158203125 588.7324829101562],0.9149193167686462,WLV 610,0.5259737139994325
138,1.0,[38.510635004169984 291.543623108161 462.9465794849891 622.7932701280856],[165.46902465820312 543.6251220703125 331.4474792480469 589.7100219726562],0.918085515499115,WLV 610,0.9917377428869405
139,1.0,[38.21591884657391 291.41951043160554 463.56736384144983 623.2453480186944],[165.73731994628906 544.1572265625 332.05755615234375 590.3231201171875],0.9166517853736877,WLV 610,0.8420605105327469
140,1.0,[38.13339206332188 291.36641597939575 464.5356645165523 623.7737354838184],[165.67059326171875 544.6121826171875 332.60870361328125 591.0104370117188],0.9131571054458618,WLV 610,0.6235010682206079
141,1.0,[38.00562855728123 291.20743725565603 465.6135033178095 624.2341245223379],[165.66845703125 544.9400634765625 333.44146728515625 591.5966186523438],0.9118759036064148,WLV 610,0.8351199273498746
142,1.0,[38.01428175925986 290.9288751163779 466.9914394431658 624.7246589927806],[166.4039306640625 545.6280517578125 334.4835510253906 592.2719116210938],0.9167616963386536,WLV 610,0.8930046264585075
143,1.0,[38.08022304311328 290.69383034097064 468.38131983763026 625.3833017718586],[166.6569366455078 546.3517456054688 335.21893310546875 592.908935546875],0.9180867075920105,WLV 610,0.9395327968960245
144,1.0,[37.994565796460705 290.5629315877876 469.7566769518819 626.2477805390976],[166.96990966796875 547.38818359375 336.6541442871094 593.3475952148438],0.9142707586288452,HLV 610,0.6996916363781619
145,1.0,[37.96610985756419 290.2150396175821 471.35048607077454 626.898712538287],[167.33056640625 548.0659790039062 337.55084228515625 593.7875366210938],0.9160583019256592,WLV 610,0.7352020746379095
146,1.0,[37.76373087649361 289.82581815505375 472.77718461827794 627.4688273653384],[167.9495849609375 548.675048828125 339.0005187988281 594.744140625],0.9200567007064819,WLV 610,0.32874248906909237
147,1.0,[37.685300356719466 289.3867569436908 474.2910158433507 627.9868249559438],[168.40457153320312 549.3984985351562 340.576416015625 596.3800659179688],0.9210243821144104,WLV 610,0.647396421348433
148,1.0,[37.36019683919619 289.32657365965474 475.6746257881226 629.4643599825022],[169.07052612304688 550.1690673828125 341.8133239746094 597.7378540039062],0.9235074520111084,WLV 610,0.6283388343415748
149,1.0,[37.06355912791625 288.79128286680066 477.0608152091419 630.4456395583213],[169.2157745361328 551.1476440429688 343.1043701171875 599.2991943359375],0.923431396484375,WLV 610,0.4702772598144032
150,1.0,[36.728913867203914 288.5408492668266 477.90963581213543 631.3891801747312],[169.46693420410156 551.87548828125 344.6364440917969 600.8997192382812],0.9211019277572632,WLV 610,0.8150605816848208
151,1.0,[36.34383725184239 288.53319508308743 478.63223356495234 633.0092746892368],[170.1866455078125 553.21630859375 346.04443359375 602.3060302734375],0.9247351288795471,WLV 610,0.7218075771593946
152,1.0,[35.921047565035536 288.58970285904024 479.07807123313194 635.1614506645446],[170.67507934570312 555.0543212890625 347.1408386230469 604.661865234375],0.9262369871139526,WLV 610,0.9342553933335355
153,1.0,[35.44586934808598 288.57945221688334 479.33679404524827 637.3545478628057],[170.9659881591797 557.4456176757812 348.2640686035156 605.874267578125],0.9221016764640808,WLV 610,0.8241034555071783
154,1.0,[34.60286157470253 288.1953068664687 479.3380171485793 638.8452904678234],[170.82041931152344 558.534912109375 348.9976806640625 607.4010009765625],0.9229094982147217,WLV 610,0.40448683855636464
